Commit message,Class,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
extract method.,extract,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0.025641026,0,0.025641026,0.1,0,0.041666667,0,0,0,0.010432191,0.010638298,0.013729977,0.014388489,0.010135135,0,0,0,0,0.010033445,0.011235955,0.013605442,0.009569378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012820513,0.012820513,0,0.018181818,0.018181818,0.01754386,0.025641026
Minor tweaks following review extraction of methods plus throwing upon unexpected data when mapping genres.,extract,0.5,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0.5,0,0.5,0.076923077,0,0.076923077,0,0,0,0,0.3,0,0.031296572,0.042553191,0.038901602,0.057553957,0.030405405,0,0,0,0,0.030100334,0.033707865,0.068027211,0.009569378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054545455,0.054545455,0.052631579,0.076923077
extract some stuff to a method[git p4: depot paths   //coremedia/jangaroo/ : change   155813],extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extract some methods in DoiServiceImpl,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refactoring getMenuSpace in Navigation: extract isEmptyMainMenu querymethod,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.166666667,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extract method resolveTemplatePath,extract,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.666666667,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refactorings extract methods for moveTreeDocAfter,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extracted method setRightsOnUserDoc,extract,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641026,0,0.025641026,0,0,0.041666667,0,0,0.333333333,0.010432191,0.010638298,0.013729977,0.014388489,0.010135135,0,0.133333333,0,0,0.010033445,0.011235955,0.013605442,0.009569378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018181818,0.018181818,0.01754386,0.025641026
extract method getMetaTags,extract,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0.166666667,0,0.166666667,0.025641026,0,0.025641026,0,0,0.041666667,0,0,0,0.010432191,0.010638298,0.013729977,0.014388489,0.010135135,0,0,0,0,0.010033445,0.011235955,0.013605442,0.009569378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018181818,0.018181818,0.01754386,0.025641026
Extract setup of default HttpParams into public static methodgit svn id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1045232 13f79535 47bb 0310 9956 ffa450edef68,extract,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTTPCLIENT 1032: Refactor to clean up duplicated code in cacheentry validation (regular and variant reuse negotation) byextracting code to shared method.git svn id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1045357 13f79535 47bb 0310 9956 ffa450edef68,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTTPCLIENT 1032: Refactor to clean up duplicated code in cacheentry validation (regular and variant reuse negotation) byextracting code to shared method.git svn id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1045357 13f79535 47bb 0310 9956 ffa450edef68,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTTPCLIENT 975: refactoring primary execute method in CachingHttpClient (mostly method extraction).git svn id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1050878 13f79535 47bb 0310 9956 ffa450edef68,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTTPCLIENT 975: more refactoring/method extractiongit svn id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1051076 13f79535 47bb 0310 9956 ffa450edef68,extract,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0.076923077,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTTPCLIENT 975: more method extraction; the body forCachingHttpClient execute now at least fits on one screen. :)git svn id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1051133 13f79535 47bb 0310 9956 ffa450edef68,extract,0,0,0,0,0.125,0,0.166666667,0,0,0,0,0,0.111111111,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extract setup for materializePull out the setup method for doing a materialize on a PCollectionre using it for in memory mapside joins.,extract,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192307692,0.166666667,0,0,0,0,0
Extract method,extract,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o Extracted a few methods to make method fit in 5 printed pages ;)No functional changesgit svn id: https://svn.apache.org/repos/asf/maven/surefire/trunk@1036640 13f79535 47bb 0310 9956 ffa450edef68,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o Reduced duplication in mojos extracted nice methodsPatch by Stefan Birkner submitted via github. Reformatted to IntelliJ maven template by me otherwiseunchangedgit svn id: https://svn.apache.org/repos/asf/maven/surefire/trunk@1099576 13f79535 47bb 0310 9956 ffa450edef68,extract,0,0,0,0,0,0,0,0,1,0.25,0,0,0.222222222,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012820513,0,0,0,0,0
o Extracted a well named method removed a commentgit svn id: https://svn.apache.org/repos/asf/maven/surefire/trunk@1225473 13f79535 47bb 0310 9956 ffa450edef68,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.166666667,0,0,0,0,0,0,0,0,0,0.004470939,0,0.006864989,0.014388489,0.010135135,0,0,0,0,0.010033445,0.008426966,0.013605442,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o Extracted a few methods,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
